Bernat Fenollar;0;1438;1516;Penàguila;valencia;rialc;LMed;347
Bernat Miquel;0;1350;1450;None;None;rialc;LMed;118
Francesc Ferrer;0;1485;1500;València;valencia;rialc;LMed;441
Francí Guerau;0;1450;None;None;None;rialc;LMed;191
Gilabert de Próixita;0;1370;1405;València;valencia;rialc;LMed;557
Jaume March;0;1333;1410;València;valencia;rialc;LMed;238
Joan Fogassot;0;1450;1450;Barcelona;central;rialc;LMed;671
Joan Moreno;0;1450;1500;Regne de València;None;None;None;499
Joan Roís de Corella;0;1435;1497;València;valencia;rialc;LMed;660
Jordi de Sant Jordi;0;1400;1424;València;valencia;rialc;LMed;629
Lluís Icart;0;1350;1450;Tarragona;central;rialc;LMed;309
Narcís Vinyoles;0;1442;1517;València;valencia;rialc;LMed;1329
Pere d'Anyó;0;1400;1500;València;valencia;rialc;LMed;181
Pere March;0;1338;1413;València;valencia;rialc;LMed;325
Pere Torroella;0;1420;1492;la Bisbal d'Empordà ;central;rialc;LMed;625
Romeu Llull;0;1439;1469;Barcelona;central;rialc;LMed;1117
Francesc Fontanella;None;1622;1681;Barcelona;central;571
Francesc Vicent Garcia;None;1579;1623;Vallfogona;gironí;1041
Pere Serafí;None;1510;1567;Barcelona;central;2433
Andreu Febrer;None;1375;1444;Vic;central;488
Antoni Vallmanya;None;1429;1490;Barcelona;central;315
Arnau d'Erill;None;1380;1450;Barcelona;central;134
Ausiàs March;None;1397;1459;Gandia;valencia;4492
Bernat Fenollar;None;1438;1516;Penàguila;valencia;347
Bernat Miquel;None;1350;1450;None;None;118
Francesc Ferrer;None;1485;1500;València;valencia;443
Francí Guerau;None;1450;None;None;None;191
Gilabert de Próixita;None;1370;1405;València;valencia;556
Jaume March;None;1333;1410;València;valencia;239
Joan Fogassot;None;1450;1450;Barcelona;central;673
Joan Moreno;None;1450;1500;Regne de València;None;502
Joan Roís de Corella;None;1435;1497;València;valencia;661
Jordi de Sant Jordi;None;1400;1424;València;valencia;633
Lluís Icart;None;1350;1450;Tarragona;central;312
Narcís Vinyoles;None;1442;1517;València;valencia;1328
Pere d'Anyó;None;1400;1500;València;valencia;181
Pere March;None;1338;1413;València;valencia;325
Pere Torroella;None;1420;1492;la Bisbal d'Empordà ;central;625
Romeu Llull;None;1439;1469;Barcelona;central;1121
Andreu Febrer;None;1375;1444;Vic;central;488
Antoni Vallmanya;None;1429;1490;Barcelona;central;315
Arnau d'Erill;None;1380;1450;Barcelona;central;134
Ausiàs March;None;1397;1459;Gandia;valencia;4492
Bernat Fenollar;None;1438;1516;Penàguila;valencia;347
Bernat Miquel;None;1350;1450;None;None;118
Francesc Ferrer;None;1485;1500;València;valencia;443
Francesc Fontanella;None;1622;1681;Barcelona;central;571
Francesc Vicent Garcia;None;1579;1623;Vallfogona;gironí;1041
Francí Guerau;None;1450;None;None;None;191
Gilabert de Próixita;None;1370;1405;València;valencia;556
Jaume March;None;1333;1410;València;valencia;239
Joan Fogassot;None;1450;1450;Barcelona;central;673
Joan Moreno;None;1450;1500;Regne de València;None;502
Joan Roís de Corella;None;1435;1497;València;valencia;661
Jordi de Sant Jordi;None;1400;1424;València;valencia;633
Lluís Icart;None;1350;1450;Tarragona;central;312
Narcís Vinyoles;None;1442;1517;València;valencia;1328
Pere d'Anyó;None;1400;1500;València;valencia;181
Pere March;None;1338;1413;València;valencia;325
Pere Serafí;None;1510;1567;Barcelona;central;2432
Pere Torroella;None;1420;1492;la Bisbal d'Empordà ;central;625
Romeu Llull;None;1439;1469;Barcelona;central;1121
